Track,Artist,Popularity,Genres,Lyrics,Sentiment
Magnetic,ILLIT,75,[],"23 ContributorsTranslationsEnglishRomanizationBahasa IndonesiaРусскийEspañolPortuguêsMagnetic Lyrics[아일릿 ""Magnetic"" 가사]

[Intro: Wonhee]
Baby, I'm just trying to play it cool
But I just can't hide that
I want you

[Verse 1: Minju & Iroha]
Wait a minute, 이게 뭐지? (뭐지?)
내 심장이 love-dub
자꾸만 뛰어
저 멀리서도 oh, (Oh) my (My) gosh (Gosh)
끌어당겨 you're my crush
초능력처럼

[Pre-Chorus: Yunah, Moka & Wonhee]
거대한 자석이 된 것만 같아 my heart
네 모든 게 내 맘에 달라붙어버려, boy
We're magnetized, 인정할게
This time, I want

[Chorus: Wonhee & Minju]
You, you, you, you, like it's magnetic
You, you, you, you, you, you, you, you super 이끌림
You, you, you, you, like it's magnetic
You, you, you, you, you, you, you, you super 이끌림
You might also like[Post-Chorus: Moka, Iroha, Yunah & Wonhee]
Bae, bae, bae, bae, bae, bae, bae, bae, bae
Dash-da-da, dash-da-da, dash-da
Like it's magnetic
Bae, bae, bae, bae, bae, bae, bae, bae, bae
Dash-da-da, dash-da-da
Baby, don't say no

[Verse 2: Minju & Wonhee]
정반대 같아 our type
넌 J 난 완전 P
S와 N 극이지만
그래서 끌리지
내가 만들래 green light
여잔 배짱이지
So let's go, let's go
Let's go, let's go

[Pre-Chorus: Moka, Yunah & Iroha]
숨기고 싶지 않아 자석 같은 my heart
내 맘의 끌림대로 너를 향해 갈게, boy
We're magnetized, 인정할게
This time, I want

[Chorus: Iroha & Minju]
You, you, you, you, like it's magnetic
You, you, you, you, you, you, you, you super 이끌림
You, you, you, you, like it's magnetic
You, you, you, you, you, you, you, you super 이끌림
[Bridge: Yunah, Minju, Moka, Iroha & *Wonhee*]
No push and pull, 전속력으로 너에게 갈게 (In a rush, in a rush)
Our chemistry, 난 과몰입해 지금 순간에 (Baby, you're my crush, you're my crush)
No push and pull, 네게 집중 후회는 안 할래 (Gonna dash, gonna dash)
Never holding back, 직진해, yeah (직진해, yeah)
*This time, I want*

[Chorus: Wonhee & Moka]
You, you, you, you, like it's magnetic
You, you, you, you, you, you, you, you super 이끌림
You, you, you, you, like it's magnetic
You, you, you, you, you, you, you, you super 이끌림

[Post-Chorus: Minju, Iroha, Yunah & Wonhee]
Bae, bae, bae, bae, bae, bae, bae, bae, bae
Dash-da-da, dash-da-da, dash-da
Like it's magnetic
Bae, bae, bae, bae, bae, bae, bae, bae, bae
Dash-da-da, dash-da-da
Baby, don't say no6Embed",0.255
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,93,"['canadian contemporary r&b', 'canadian pop', 'pop']","1 ContributorNew Music Friday 06/23/23 LyricsPeso Pluma & Junior H - LUNA
Young Thug - Oh U Went (feat. Drake)
Ice Spice & Nicki Minaj - Barbie World (with Aqua)
Bizarrap - Rauw Alejandro: Bzrp Music Sessions, Vol. 56
The Weeknd, JENNIE & Lily-Rose Depp - One Of The Girls
Coi Leray & David Guetta - Make My Day
Lyrical Lemonade, Juice WRLD & Cordae - Doomsday
Anitta - Funk Rave
Kelly Clarkson - rock hudson
Kim Petras - King of Hearts
Lil Tjay - June 22nd
Chris Brown - Summer Too Hot
Dominic Fike - Mama's Boy
Rauw Alejandro & Bizarrap - BABY HELLO
The Chainsmokers, ILLENIUM & Carlie Hanson - See You Again
Faye Webster - But Not Kiss
Hozier - Unknown / Nth
Old Dominion - Some Horses
Gwen Stefani - True Babe
Bakar - Alive!
Portugal. The Man - Grim Generation
Mac Miller - The Star Room (OG Version)
DESTIN CONRAD - To This Day🕒
Stormzy - Toxic Trait
Oliver Tree - Bounce
Maisie Peters - Run
Jake Owen - Loose Cannon
Beck - Odyssey
Carly Rae Jepsen - Shy Boy
JP Saxe - Everything Ends (feat. Lizzy McAlpine and Tiny Habits)
Nessa Barrett - lie
Demi Lovato - SWINE
Key Glock - Presidential Rolex
Finesse2tymes - Shiesty (feat. Kali & Sexyy Red)
Loud Luxury - If Only I (feat. Bebe Rexha)
Diplo - Without You
Brad Paisley - So Many Summers
Tai Verdes - Sandman
Moses Sumney - Get It B4
Slowdive - kisses
X Ambassadors & Medium Build - Friend For Life
King Von - Robberies
Joyner Lucas - Broski
Marshmello & Tiago PZK - Como Yo
Tiësto - Drifting
Madeon - Gonna Be Good
Madison Rose - True Colors
Lyn Lapid - the alternative
Sean Leon - THE GLADE
binki - Freakin
Wallice - Prepaid Wireless
Corinne Bailey Rae - New York Transit Queen
Ashley Cooke - mean girl
M. Ward - too young to die
Shania Twain - On Three
Chris Renzema - Faith!?
Palace - All We've Ever Wanted
Lennon Stella - Time After Time - Spotify Singles
Äyanna - Girlfriend
Victony - My Darling
XXXTENTACION - I'm Not Human
Danny Towers & DJ Scheme - Kreepin (feat. Denzel Curry)
Duki & Jhayco - RoCKSTAR 2.0
NCT DREAM - Broken Melodies
Valley - Natural
Geese - I See Myself
C.S. Armstrong - SOUL SURVIVOR
Byron Messia - I Hate Byron
Timmy Trumpet & Alle Farben - Good Morning (feat. YOU)
venbee - die young
Boyish & King Princess - Kill Your Pain
Bishop Briggs - Reborn
Justin Vernon - hazelton
Michael Ray - Spirits and Demons (with Meghan Patrick)
Bridge Music - FIND MY WAY
Maria Becerra - CORAZÓN VACÍO
Jason Mraz - Feel Good Too
Teddy Swims - Lose Control
Militarie Gun - Never Fucked Up Once
Rowdy Rebel, Fetty Luciano & Fivio Foreign - Posture
Big Freedia - El Niño (feat. Lil Wayne & Boyfriend)
Galantis - BANG BANG! (My Neurodivergent Anthem)
Stefflon Don - Move It
Rylo Rodriguez - Thang For You (feat. No Cap)
BLP KOSHER - Special K
Curtis Waters - PETTY (feat. TiaCorine)
Cody Fry - Waltz For Sweatpants
Healy - 2D
Aphex Twin - Blackbox Life Recorder 21f
Albert Hammond Jr - One Chance
REASON - You Betta (Jesus Take The Wheel)☑️
Sada Baby - Ugly Sweater☑️
Tyler Cole - Bad Joke
Current Joys & Your Angel - LOVE + POP
Ilsey - No California
Pecos & the Rooftops - She Says
Amy Shark - Can I Shower At Yours
Babyboy AV - Quick Question🐚
Franklin Jonas - Cherub
Dr. Teeth and The Electric Mayhem - Rock On - Spotify SinglesEmbed",0.048984236484236485
Cruel Summer,Taylor Swift,100,['pop'],"205 ContributorsTranslationsTürkçeEspañolСрпскиPortuguêsPolskiItalianoMagyarDeutschFrançaisفارسی中文РусскийالعربيةУкраїнськаSvenskaCruel Summer Lyrics[Intro]
(Yeah, yeah, yeah, yeah)

[Verse 1]
Fever dream high in the quiet of the night
You know that I caught it (Oh yeah, you're right, I want it)
Bad, bad boy, shiny toy with a price
You know that I bought it (Oh yeah, you're right, I want it)

[Pre-Chorus]
Killing me slow, out the window
I'm always waiting for you to be waiting below
Devils roll the dice, angels roll their eyes
What doesn't kill me makes me want you more

[Chorus]
And it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you

[Verse 2]
Hang your head low in the glow of the vending machine
I'm not dying (Oh yeah, you're right, I want it)
We say that we'll just screw it up in these trying times
We're not trying (Oh yeah, you're right, I want it)
See Taylor Swift LiveGet tickets as low as $293You might also like[Pre-Chorus]
So cut the headlights, summer's a knife
I'm always waiting for you just to cut to the bone
Devils roll the dice, angels roll their eyes
And if I bleed, you'll be the last to know, oh

[Chorus]
It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you

[Bridge]
I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
He looks up, grinnin' like a devil
[Chorus]
It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you

[Outro]
I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
(Yeah, yeah, yeah, yeah)108Embed",-0.10249330035044321
Stick Season,Noah Kahan,84,['pov: indie'],"54 ContributorsTranslationsالعربيةEspañolDeutschFrançaisNorsk (bokmål / riksmål)Stick Season Lyrics[Verse 1]
As you promised me that I was more than all the miles combined
You must've had yourself a change of heart like halfway through the drive
Because your voice trailed off exactly as you passed my exit sign
Kept on drivin' straight and left our future to the right
Now I am stuck between my anger and the blame that I can't face
And memories are somethin' even smoking weed does not replace
And I am terrified of weather 'cause I see you when it rains
Doc told me to travel, but there's Covid on the planes

[Chorus]
And I love Vermont, but it's the season of the sticks
And I saw your mom, she forgot that I existed
And it's half my fault, but I just like to play the victim
I'll drink alcohol 'til my friends come home for Christmas
And I'll dream each night of some version of you
That I might not have, but I did not lose
Now you're tire tracks and one pair of shoes
And I'm split in half, but that'll have to do

[Verse 2]
So I thought that if I piled something good on all my bad
That I could cancel out the darkness I inherited from Dad
No, I am no longer funny 'cause I miss the way you laugh
You once called me ""forever,"" now you still can't call me back
See Noah Kahan LiveGet tickets as low as $86You might also like[Chorus]
And I love Vermont, but it's the season of the sticks
And I saw your mom, she forgot that I existed
And it's half my fault, but I just like to play the victim
I'll drink alcohol 'til my friends come home for Christmas
And I'll dream each night of some version of you
That I might not have, but I did not lose
Now you're tire tracks and one pair of shoes
And I'm split in half, but that'll have to do

[Bridge]
Oh, that'll have to do
My other half was you
I hope this pain's just passin' through
But I doubt it

[Chorus]
And I love Vermont, but it's the season of the sticks
And I saw your mom, she forgot that I existed
And it's half my fault, but I just like to play the victim
I'll drink alcohol 'til my friends come home for Christmas
And I'll dream each night of some version of you
That I might not have, but I did not lose
Now you're tire tracks and one pair of shoes
And I'm split in half, but that'll have to do
Have to do7Embed",0.03959435626102293
TEXAS HOLD 'EM,Beyoncé,90,"['pop', 'r&b']","89 ContributorsTranslationsItalianoDeutschРусскийPortuguêsBahasa IndonesiaTürkçePolskiEspañolNederlandsNorsk (bokmål / riksmål)TEXAS HOLD ’EM Lyrics[Chorus]
This ain't Texas (Woo)
Ain't no hold 'em (Hey)
So lay your cards down, down, down, down
So park your Lexus (Woo)
And throw your keys up (Hey)
Stick around, 'round, 'round, 'round, 'round (Stick around)
And I'll be damned if I can't slow-dance with you
Come pour some sugar on me, honey, too
It's a real-life boogie and a real-life hoedown
Don't be a bitch, come take it to the floor now, woo, ha (Woo)

[Verse 1]
There's a tornado (There's a tornado)
In my city (In my city)
Hit the basement (Hit the basement)
That shit ain't pretty (That shit ain't pretty)
Rugged whiskey (Rugged whiskey)
'Cause we survivin' ('Cause we survivin')
Off red-cup kisses, sweet redemption, passin' time, yeah
[Pre-Chorus]
Ooh, one step to the right
We heading to the dive bar we always thought was nice
Ooh, run me to the left
Then spin me in the middle, boy, I can't read your mind
You might also like[Chorus]
This ain't Texas (Woo)
Ain't no hold 'em (Hey)
So lay your cards down, down, down, down
So park your Lexus (Woo)
And throw your keys up (Hey)
And stick around, 'round, 'round, 'round, 'round (Stick around)
And I'll be damned if I can't slow-dance with you
Come pour some sugar on me, honey, too
It's a real-life boogie and a real-life hoedown
Don't be a bitch, come take it to the floor now, woo
And I'll be damned if I cannot dance with you
Come pour some liquor on me, honey, too
It's a real-life boogie and a real-life hoedown
Don't be a bitch, come take it to the floor now, woo

[Post-Chorus]
Woo-hoo
Woo-hoo
Woo-hoo

[Verse 2]
There's a heatwave (There's a heatwave)
Comin' at us (Comin' at us)
Too hot to think straight (Too hot to think straight)
Too cold to panic (Cold to panic)
All of the problems
Just feel dramatic (Just feel dramatic)
And now we're runnin' to the first bar that we find, yeah
[Pre-Chorus]
Ooh, one step to the right
We heading to the dive bar we always thought was nice
Ooh, you run to the left
Just work me in the middle boy, I can't read your mind

[Chorus]
This ain't Texas (Woo)
Ain't no hold 'em (Hey)
So lay your cards down, down, down, down, oh
So park your Lexus (Hey)
And throw your keys up (Hey)
And stick around, 'round, 'round, 'round, 'round (Stick around)
And I'll be damned if I cannot dance with you
Come pour some sugar on me, honey, too
It's a real-life boogie and a real-life hoedown
Don't be a bitch, come take it to the floor now (Woo)
And I'll be damned if I cannot dance with you
Come pour some liquor on me, honey, too
It's a real-life boogie and a real-life hoedown
Don't be a—, come take it to the floor now, ooh

[Outro]
Take it to the floor now, ooh
Hoops, spurs, boots
To the floor now, ooh
Tuck, back, oops (Ooh, ooh, ooh)
Shoot
Come take it to the floor now, ooh
And I'll be damned if I cannot dance with you
Baby, pour that sugar and liquor on me, too
Furs, spurs, boots
Solargenic, photogenic, shoot17Embed",-0.06301925025329282
CARNIVAL,¥$,81,[],"359 ContributorsTranslationsEspañolPortuguês한국어УкраїнськаРусскийDeutschFrançaisNorsk (bokmål / riksmål)TürkçeItalianoCARNIVAL Lyrics[Intro: Choir & Playboi Carti]
Go, go, go, go
Head so good, she a honor roll
She ride the dick like a carnival
I done did the impossible
Go, go, go, go
Head so good, she a honor roll
She ride the dick like a carnival
I done did the impossible
Go
Ha, ha, ha, schyeah

[Verse 1: Rich The Kid & Playboi Carti]
Way too rich to drive a Rove'
Made a milli' off the stove
She like to put it in her nose
Pretty bitch with white toes
I done put on all the bros
I done fucked her in the Rolls (Hahahaha)
I done pulled up in the Ghost
I done reachеd all my goals
Yeah, yeah, pull up with Yeezy and Dolla $ign
I'm all about business, I'm mindin' minе
Pull up in the trenches like Columbine
Pull up with the rocket like NumbaNine
I don't want your hoes
Young nigga reach all the goals
Let her suck the dick, said she was a pro
If she scrape her teeth, I'ma tell her to go
You might also like[Chorus: Rich The Kid with Choir, Ty Dolla $ign & Playboi Carti]
Go, go, go, go
Head so good, she a honor roll
She'll ride the dick like carnival
I done did the impossible
Go, go, go, go (Ha, ha)
Head so good, she a honor roll
She'll ride the dick like carnival
I done did the impossible (Dolla $ign)

[Verse 2: Ty Dolla $ign]
She ride it like Six Flags
We turn up to the max
I whop her from the back
I gave that bitch a cramp
They love me out in France
In the hood, I'm good, I'm stamped
Every day, I dress all black
For a show, nine hundred racks
Middle East call, double that
On my neck a bubble bath
On my wrist, new Cadillac
Cut her off, don't want her back
Little bitch, I'm a superstar
These hoes wanna fuck my car
My dog put a nigga in park
Gotta watch out for the narcs, ayy
[Verse 3: Kanye West]
This that Game of Thrones, Yeezy, not the clones
Elon, where my rocket ship? It's time to go home
They served us the porn since the day we was born
Anybody pissed off, gotta make 'em drink the urine
Now I'm Ye-Kelly, bitch, now I'm Bill Cosby, bitch
Now, I'm Puff Daddy rich, that's Me Too me rich
Why she say she sucked my dick? Then she say she ain't sucked my dick?
She gon' take it up the ass like a ventriloquist
I mean since Taylor Swift, since I had the Rollie on the wrist
I'm the new Jesus, bitch, I turn water to Cris'
This for what they did to Chris, they can't do shit with this
Got my kids in a fake school, we ain't—
[Chorus: Rich The Kid with Choir & Playboi Carti]
Go, go, go, go
Head so good, she a honor roll
She'll ride the dick like carnival (Schyeah)
I done did the impossible (Schyeah)
Go, go, go, go
Head so good, she a honor roll
She'll ride the dick like carnival
I done did the impossible

[Verse 4: Playboi Carti]
She ride the dick like a carnival
Bend her over, havin' flashbacks, she gon' eat me up like a carnivore
It's the way I pop my shit, the hoes not ready, I'm goin' barnacles
Movin', I feel like I'm Jason, can't get arrested, I make 'em stumble
She want a private section, roll off them X's when I'm on Melrose
She tatted my name on her titties, yeah, you can bust it, but it's a borrow
Hol' up, sittin' back, countin' up dubs, I was raised in the borough
She wanna taste it, checkin' the swag today, ho, come back tomorrow
If you know what I know, hide your ho
Just off the facts that we havin' them hunchos
Runnin' around in the lobby, I know that they tired of me havin' like ten hoes
She need some cresidentials just to be presidential, hol' up, hol' up
I'm 'bout to buy her some dentures, make that ho eat me for dinner, woah, woah
Pain all in my eyes, I can't see, uh
I'm 'bout to jump out my body, I'm ready to leap, uh
I'm 'bout to nut on her body and tell the ho leave, 'kay
Fifty mil' stuffed in the bag, tell the whole gang eat, uh
It's Ye and Barti, tell me who fuckin' with we?
I'm hot like Tha Carter, I'm feelin' that ho in my sleep
Dollar signs all in my dreams, I don't never see Z's, woah (Woah-woah)
The swag cover my body like it's a disease, woah (Woah-woah)
[Bridge: Choir]
Woah, woah, woah
Woah, woah, woah

[Chorus: Choir]
Go, go, go, go
Head so good, she a honor roll
She ride the dick like a carnival
I done did the impossible
Go, go, go, go
Head so good, she a honor roll
She ride the dick like a carnival
I done did the impossible

[Outro: Choir]
Go, go, go, go
Go, go, go, go
Go, go, go, go
Go, go, go, go60Embed",0.031560891938250436
Saturn,SZA,88,"['pop', 'r&b', 'rap']","80 ContributorsTranslationsDeutschFrançais한국어Tagalog / ᜆᜄᜎᜓᜄ᜔PortuguêsEspañolBahasa IndonesiaSaturn Lyrics[Verse 1]
If there's another universe
Please make some noise (Noise)
Give me a sign (Sign)
This can't be life
If there's a point to losing love
Repeating pain (Why?)
It's all the same (Same)
I hate this place

[Pre-Chorus]
Stuck in this paradigm
Don't believe in paradise
This must be what Hell is like
There's got to be more, got to be more
Sick of this head of mine
Intrusive thoughts, they paralyzе
Nirvana's not as advertised
Therе's got to be more, been here before

[Chorus]
Ooh (Ooh, ooh)
Life's better on Saturn
Got to break this pattern
Of floating away
Ooh (Ooh, ooh)
Find something worth saving
It's all for the taking
I always say
See SZA LiveGet tickets as low as $134You might also like[Post-Chorus]
I'll be better on Saturn
None of this matters
Dreaming of Saturn, oh

[Verse 2]
If karma's really real
How am I still here?
Just seems so unfair
I could be wrong though
If there's a point to being good
Then where's my reward?
The good die young and poor
I gave it all I could

[Pre-Chorus]
Stuck in this terradome (Ooh)
All I see is terrible (Ooh)
Making us hysterical (Ooh)
There's got to be more, got to be more
Sick of this head of mine (Ooh)
Intrusive thoughts, they paralyze (Ooh)
Nirvana's not as advertised (Ooh)
There's got to be more, been here before

[Chorus]
Ooh (Ooh, ooh)
Life's better on Saturn
Got to break this pattern
Of floating away
Ooh (Ooh, ooh)
Find something worth saving
It's all for the taking
I always say
[Post-Chorus]
I'll be better on Saturn
None of this matters
Dreaming of Saturn, oh

[Outro]
(Ooh, ooh, ooh)
(Ooh, ooh, ooh)9Embed",0.07755102040816324
LUNA,Feid,89,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']","21 ContributorsTranslationsEnglishDeutschLUNA Lyrics[Letra de ""LUNA""]

[Intro]
Yeah, yeah, yeah
ATL Jacob, ATL Jacob

[Pre-Coro]
Te busco y no sé dónde estás, estoy buscando respuestas
¿Cuándo fue la última vez que te vi sonreír?
Te decía ""mi reina"", te temblaban las piernas
Contigo las noches no, no eran pa' dormir
A veces lo ignoro, fumo y bebo solo
Siempre pensé que no te debiste ir
Cambiaste plata por oro, eras mi tesoro (Tesoro)

[Coro]
No supe qué día te olvidaste de mí
Y, y de mí, y, y yo de ti
No supe qué día te olvidaste de mí
Y, y de mí, y, y yo de ti
No supe qué día te olvidaste de mí
Y, y de mí, y, y de mí
No supe qué día te olvidaste de mí
Y, y de mí, y, y yo de ti, yeah, yeah

[Verso]
A veces te extraño, ma, te quiero perdonar
Bebé, me tiraste pa' la lona
Me dejaste en cero toda la estamina
No me llame' cuando te sientas sola
Bebé, yo sé que también extraña' los carro'
Hacer el amor cuando estábamo' farros, yeah
Todo era mentira cuando tú me decía': ""Baby, te extraño""
Que duraríamos años
Baby, dolió tu engaño
Ojalá que se acabe este tema y por fin yo me olvide de ti
You might also like[Pre-Coro]
Te busco y no sé dónde estás, 'toy buscando respuestas
¿Cuándo fue la última vez que te vi sonreír?
Te decía ""mi reina"", te temblaban las piernas

[Coro]
No supe qué día te olvidaste de mí
Y, y de mí, y, y yo de ti
No supe qué día te olvidaste de mí
Y, y de mí, y, y yo de ti
No supe qué día te olvidaste de mí
Y, y de mí, y, y de mí
No supe qué día te olvidaste de mí
Y, y de mí, y, y yo de ti
No supe qué día te olvidaste de mí

[Outro]
Yeah
Ah-ah-ahEmbed",0.0
My Love Mine All Mine,Mitski,82,"['brooklyn indie', 'pov: indie']","89 ContributorsTranslationsItalianoFrançaisPortuguêsEspañol日本語DeutschالعربيةTürkçeBahasa IndonesiaMy Love Mine All Mine Lyrics[Verse 1]
Moon, a hole of light
Through the big top tent up high
Here before and after me
Shinin' down on me
Moon, tell me if I could
Send up my heart to you?
So when I die, which I must do
Could it shine down here with you?

[Chorus]
'Cause my love is mine, all mine
I love, my, my, mine
Nothing in the world belongs to me
But my love, mine, all mine, all mine

[Verse 2]
My baby here on Earth
Showed me what my heart was worth
So when it comes to be my turn
Could you shine it down here for her?

[Chorus]
'Cause my love is mine, all mine
I love, my, my, mine
Nothing in the world belongs to me
But my love, mine, all mine
Nothing in the world is mine for free
But my love, mine, all mine, all mineSee Mitski LiveGet tickets as low as $8You might also like14Embed",0.29407407407407404
Austin,Dasha,72,['alt z'],"10 ContributorsTranslationsNorsk (bokmål / riksmål)EspañolDeutschAustin Lyrics[Verse 1]
We had a plan, move out of this town, baby
West to the sand, it's all we talked about lately
I'd pack the car, bring your guitar and jane for smokin'
First thing at dawn, you'd queue the songs and we'd get goin'
But you weren't home, waited on the porch for ya
Sat there alone, all throughout the morn' 'til I
Got a hunch down in my gut and snuck around the back
Empty cans and I'll be damned, your shit was never packed

[Chorus]
Did your boots stop workin'? Did your truck break down? (Truck break down)
Did you burn through money? Did your ex find out? (Ex find out)
Where there's a will, then there's a way, and I'm damn sure you lost it
Didn't even say goodbye, just wish I knew what caused it
Was the whiskey flowin'? Were you in a fight? (In a fight)
Did the nerves come get you? What's your alibi? (Alibi)
I made my way back to LA, and that's where you'll be forgotten
In forty years, you'll still be here, drunk washed up in Austin

[Verse 2]
Hell of a bluff, you had me believin'
How many months did you plan on leavin'?
What happened? Bad habits?
Did you go back? Go batshit?
I loved you, how tragic, oh-oh
You might also like[Chorus]
Did your boots stop workin'? Did your truck break down? (Truck break down)
Did you burn through money? Did your ex find out? (Ex find out)
Where there's a will, then there's a way, and I'm damn sure you lost it
Didn't even say goodbye, just wish I knew what caused it
Was the whiskey flowin'? Were you in a fight? (In a fight)
Did the nerves come get you? What's your alibi? (Alibi)
I made my way back to LA, and that's where you'll be forgotten
In forty years, you'll still be here, drunk washed up in Austin

[Refrain]
Did your truck break down? Did your ex find out?Embed",-0.06969696969696972
